"Location","Year","Trial","Experiment.Name","Design","Index","AIC","logLik","Moran I statistic","Expectation","Variance","p Value","CV"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","Control","196.587233682191","-96.2936168410955","0.133481647508742","-0.0050761421319797","0.00270537452833536","0.00386207316893554","32.4129788974811"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","Can_Cover","106.430542786903","-50.2152713934515","0.158935993630306","-0.0050761421319797","0.00257141475792525","0.000609553569128978","26.2284055222714"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","NDVI","146.353939191952","-70.1769695959761","0.115696901262048","-0.0050761421319797","0.00263123116463715","0.00927492937807283","28.4697316381935"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","NDRE2","144.405380491464","-69.202690245732","0.0942565960116436","-0.0050761421319797","0.00263394820398537","0.0264656819017519","28.08754978556"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","Control","90.4571153862129","-43.2285576931065","0.0792262471127066","-0.00934579439252336","0.00508434469659839","0.107087911780409","21.228192162611"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","Can_Cover","35.1692143047521","-14.5846071523761","0.210466327809963","-0.00934579439252336","0.0050518204995642","0.0009919632714269","15.15423750007"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","NDVI","5.02183564937491","0.489082175312546","0.0908725484564966","-0.00934579439252336","0.00509318465339278","0.0801183232827916","13.0201718847457"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","NDRE2","-3.87981234865798","4.93990617432899","0.0722555819399866","-0.00934579439252336","0.00507956778710513","0.126116255328245","12.4603533992085"
"Lind","2020","F5 SP","2020 Lind Soft F5 SP","Augmented ","Control","258.11483571364","-127.05741785682","0.0418413079960513","-0.00327868852459016","0.00173754912660333","0.139530369590412","21.137360653004"
"Lind","2020","F5 SP","2020 Lind Soft F5 SP","Augmented ","Can_Cover","7.35119091033141","-0.675595455165706","0.0571735776211172","-0.00327868852459016","0.00173740900682274","0.0734857154393942","14.6596398187806"
"Lind","2020","F5 SP","2020 Lind Soft F5 SP","Augmented ","NDVI","76.2294359318464","-35.1147179659232","-0.0169891676180733","-0.00327868852459016","0.00173755755831657","0.628889846183083","14.4406141491028"
