"Location","Year","Trial","Experiment.Name","Design","Index","AIC","logLik","Moran I statistic","Expectation","Variance","p Value","CV"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","Control","194.232338824575","-95.1161694122877","0.133254032790942","-0.0050761421319797","0.00270484858542242","0.00390960449623969","32.4118776691008"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","Can_Cover","97.4072220659958","-45.7036110329979","0.150941993348272","-0.0050761421319797","0.00256950314701626","0.00104242341752239","26.0231321095482"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","NDVI","140.310965970724","-67.1554829853621","0.112522902922858","-0.0050761421319797","0.00263103923723684","0.0109337207477296","28.3649058975187"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","NDRE2","137.283276492415","-65.6416382462077","0.0949098502746736","-0.0050761421319797","0.00263124679467114","0.0256352456154008","28.0936036894592"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","Control","90.3872743838505","-43.1936371919253","0.0816374392155871","-0.00934579439252336","0.00508397037925015","0.100972988342347","20.7300673030275"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","Can_Cover","35.9349527310951","-14.9674763655475","0.212550703000261","-0.00934579439252336","0.00505226504448306","0.000898694386813205","15.168533070093"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","NDVI","5.81461484018979","0.0926925799051048","0.0908948892330969","-0.00934579439252336","0.00509304363763407","0.0800688498933426","13.0178810669094"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","NDRE2","-1.99886893515281","3.99943446757641","0.073867614362174","-0.00934579439252336","0.00507877589300526","0.121473387346871","12.4588787716311"
"Lind","2020","F5 SP","2020 Lind Soft F5 SP","Augmented ","Control","278.432145392301","-137.216072696151","0.0408293303518529","-0.00327868852459016","0.00173756726509521","0.144993807427647","20.1761328063322"
"Lind","2020","F5 SP","2020 Lind Soft F5 SP","Augmented ","Can_Cover","18.0357578806408","-6.0178789403204","0.0631461756705803","-0.00327868852459016","0.00173726159458184","0.0555051198204258","13.2377644288579"
"Lind","2020","F5 SP","2020 Lind Soft F5 SP","Augmented ","NDVI","88.2881809254771","-41.1440904627385","-0.016048368739335","-0.00327868852459016","0.00173760488116663","0.620327321397168","14.4292591119"
"Lind","2020","F5 SP","2020 Lind Soft F5 SP","Augmented ","NDRE2","106.975195324193","-50.4875976620963","0.164617791722942","-0.00327868852459016","0.00173605015265375","2.79375536866201e-05","15.223446819725"
"Lind","2020","DH SP","2020 Lind SWW DH SP","Augmented ","Control","320.458059195673","-158.229029597836","0.170060775681943","-0.00242130750605327","0.00129838970133825","8.47485685433155e-07","21.9999092538281"
"Lind","2020","DH SP","2020 Lind SWW DH SP","Augmented ","Can_Cover","24.8727583639611","-9.43637918198053","0.288600075159995","-0.00242130750605327","0.00129041264143081","2.71629821731924e-16","16.1685339452684"
"Lind","2020","DH SP","2020 Lind SWW DH SP","Augmented ","NDVI","110.833073353015","-52.4165366765073","0.177854552180556","-0.00242130750605327","0.00129319888288056","2.67823568958599e-07","17.2024815367001"
"Lind","2020","DH SP","2020 Lind SWW DH SP","Augmented ","NDRE2","-6.90014520147571","6.45007260073785","0.0203436412492844","-0.00242130750605327","0.00128182034727509","0.262437850838622","13.7917918894164"
"Pullman","2020","DH SP","2020 PUL SWW DH SP","Augmented ","Control","111.352242415118","-53.6761212075589","0.104772160172848","-0.00746268656716418","0.00399171384931378","0.0378310624410049","14.2255078095112"
"Pullman","2020","DH SP","2020 PUL SWW DH SP","Augmented ","Can_Cover","111.813631516462","-52.9068157582312","0.101495324325949","-0.00746268656716418","0.00398703632343577","0.0422118678160913","14.0594581486016"
"Pullman","2020","DH SP","2020 PUL SWW DH SP","Augmented ","NDVI","104.351774598971","-49.1758872994853","0.0887656500593375","-0.00746268656716418","0.0040156646047461","0.0644400310280868","13.9617711307525"
"Pullman","2020","DH SP","2020 PUL SWW DH SP","Augmented ","NDRE2","83.7564260933756","-38.8782130466878","0.028403742606526","-0.00746268656716418","0.00400746187100491","0.285503240107878","12.8064739404818"
"Pullman","2020","F5 SP","2020 Pullman Hard F5 SP","Augmented ","Control","94.0868396701647","-45.0434198350824","0.0636891649717753","-0.0102040816326531","0.00554403657032712","0.160498461968732","8.09654793526964"
"Pullman","2020","F5 SP","2020 Pullman Hard F5 SP","Augmented ","Can_Cover","95.875674052997","-44.9378370264985","0.0633029760636832","-0.0102040816326531","0.00554362449549507","0.161757265593298","8.04361177153528"
"Pullman","2020","F5 SP","2020 Pullman Hard F5 SP","Augmented ","NDVI","94.687029245068","-44.343514622534","0.0804946251127727","-0.0102040816326531","0.00553666317312552","0.111436298935196","8.1048859940819"
"Pullman","2020","F5 SP","2020 Pullman Hard F5 SP","Augmented ","NDRE2","82.964319861175","-38.4821599305875","0.0619863929045633","-0.0102040816326531","0.00554048323922856","0.166059795857603","7.43989066932834"
"Pullman","2020","F5 SP","2020 Pullman Soft F5 SP","Augmented ","Control","180.274097970546","-88.1370489852729","0.0393008894759662","-0.00446428571428571","0.00229489314539484","0.180468317891239","11.9661444054451"
"Pullman","2020","F5 SP","2020 Pullman Soft F5 SP","Augmented ","Can_Cover","127.298278963538","-60.6491394817689","0.11925807776391","-0.00446428571428571","0.00240625472151209","0.00583137244194934","11.2059785839282"
"Pullman","2020","F5 SP","2020 Pullman Soft F5 SP","Augmented ","NDVI","114.282211030548","-54.1411055152738","0.0239999770392823","-0.00446428571428571","0.00235699412444908","0.278836604697096","10.7180301973443"
