"Location","Year","Trial","Experiment.Name","Design","Index","AIC","logLik","Moran I statistic","Expectation","Variance","p Value","CV"
"Lind","2020","DH SP","2020 Lind SWW DH SP","Augmented ","NDRE2","6.56654030189162","-0.28327015094581","0.0198226034922629","-0.00242130750605327","0.00128186027843499","0.267206091079399","13.7919113880976"
"Pullman","2020","DH SP","2020 PUL SWW DH SP","Augmented ","Control","120.151742623917","-58.0758713119586","0.103292773571918","-0.00746268656716418","0.00399287292759958","0.0398216240627662","14.8389197004292"
"Pullman","2020","DH SP","2020 PUL SWW DH SP","Augmented ","Can_Cover","120.757323927922","-57.378661963961","0.0999470741852577","-0.00746268656716418","0.00398848399401241","0.0444952126416194","14.5592928324914"
"Pullman","2020","DH SP","2020 PUL SWW DH SP","Augmented ","NDVI","114.820845658865","-54.4104228294325","0.088985902461975","-0.00746268656716418","0.00401470385371131","0.0639806273600227","14.3807042128704"
"Pullman","2020","DH SP","2020 PUL SWW DH SP","Augmented ","NDRE2","91.6973685835448","-42.8486842917724","0.0288266950242969","-0.00746268656716418","0.004007219742892","0.283231495537442","12.806808927417"
"Pullman","2020","F5 SP","2020 Pullman Hard F5 SP","Augmented ","Control","97.6090004600036","-46.8045002300018","0.0595305727898445","-0.0102040816326531","0.00554301726823336","0.17447031064334","8.09041942616986"
"Pullman","2020","F5 SP","2020 Pullman Hard F5 SP","Augmented ","Can_Cover","98.9807027811896","-46.4903513905948","0.0603374550023034","-0.0102040816326531","0.00554265922358966","0.171688356596717","8.01011030447977"
"Pullman","2020","F5 SP","2020 Pullman Hard F5 SP","Augmented ","NDVI","98.7064737464485","-46.3532368732242","0.0724546597806556","-0.0102040816326531","0.0055367478253783","0.13331315831206","8.08723602475975"
"Pullman","2020","F5 SP","2020 Pullman Hard F5 SP","Augmented ","NDRE2","84.5635522000083","-39.2817761000042","0.0598261813527904","-0.0102040816326531","0.00554022152172451","0.173389865854576","7.43336089403107"
"Pullman","2020","F5 SP","2020 Pullman Soft F5 SP","Augmented ","Control","225.41225405519","-110.706127027595","0.0306623062174824","-0.00446428571428571","0.00229282796073172","0.231600936057827","11.9440831865504"
"Pullman","2020","F5 SP","2020 Pullman Soft F5 SP","Augmented ","Can_Cover","197.556281094074","-95.7781405470372","0.0961886978844156","-0.00446428571428571","0.00239986676052218","0.0199575007411498","11.1563621620959"
