"Location","Year","Trial","Experiment.Name","Design","Index","AIC","logLik","Moran.I.statistic","Expectation","Variance","p.Value","CV","Model"
"Lind",2020,"F5 SP","2020 Lind Hard F5 SP","Augmented ","Control",200.11712619828,-98.05856309914,0.133298028830887,-0.0050761421319797,0.00270507287208873,0.00390107426552675,32.4099126812905,"Block-Effect"
"Lind",2020,"F5 SP","2020 Lind Hard F5 SP","Augmented ","Can_Cover",112.390361298281,-53.1951806491405,0.14105117437862,-0.0050761421319797,0.00257137401961407,0.00197767993537665,25.9870616549896,"Block-Effect"
"Lind",2020,"F5 SP","2020 Lind Hard F5 SP","Augmented ","NDVI",148.130883860877,-71.0654419304387,0.110852975621678,-0.0050761421319797,0.002634233635556,0.0119499201489457,28.3077639396422,"Block-Effect"
"Lind",2020,"F5 SP","2020 Lind Hard F5 SP","Augmented ","NDRE2",144.714461810333,-69.3572309051667,0.0945092919925518,-0.0050761421319797,0.00263479956033451,0.026184335125669,28.060869311326,"Block-Effect"
"Lind",2020,"DH SP","2020 Lind HRW DH SP","Augmented ","Control",93.5710255597165,-44.7855127798583,0.0820429834603489,-0.00934579439252336,0.00508390714196846,0.099969975289246,21.7332416764459,"Block-Effect"
"Lind",2020,"DH SP","2020 Lind HRW DH SP","Augmented ","Can_Cover",36.2157933820281,-15.1078966910141,0.211131837441517,-0.00934579439252336,0.00505181275291566,0.00096111020966849,15.1579279175908,"Block-Effect"
"Lind",2020,"DH SP","2020 Lind HRW DH SP","Augmented ","NDVI",5.8146167284779,0.0926916357610494,0.0908948809340105,-0.00934579439252336,0.00509304364670156,0.0800688673789635,13.0178807177877,"Block-Effect"
"Lind",2020,"DH SP","2020 Lind HRW DH SP","Augmented ","NDRE2",-1.99886875647962,3.99943437823981,0.0738675516345483,-0.00934579439252336,0.00507877590133551,0.121473565134023,12.458878397386,"Block-Effect"
"Lind",2020,"F5 SP","2020 Lind Soft F5 SP","Augmented ","Control",283.741744030557,-139.870872015279,0.0406708380537013,-0.00327868852459016,0.00173756973953663,0.145862309886418,21.4555249566507,"Block-Effect"
"Lind",2020,"F5 SP","2020 Lind Soft F5 SP","Augmented ","Can_Cover",21.5561868332277,-7.77809341661384,0.0539869114556635,-0.00327868852459016,0.00173748588590529,0.0847471457747266,14.8293009350096,"Block-Effect"
"Lind",2020,"F5 SP","2020 Lind Soft F5 SP","Augmented ","NDVI",90.1751560792063,-42.0875780396032,-0.0156876990451241,-0.00327868852459016,0.00173762067338467,0.617028913425298,14.4278100454598,"Block-Effect"
"Lind",2020,"F5 SP","2020 Lind Soft F5 SP","Augmented ","NDRE2",124.202793437854,-59.1013967189271,0.151461232472704,-0.00327868852459016,0.00173613039236927,0.000102110321058596,15.1985223170156,"Block-Effect"
"Lind",2020,"DH SP","2020 Lind SWW DH SP","Augmented ","Control",391.98619341856,-193.99309670928,0.169058525173483,-0.00242130750605327,0.00129848913012506,9.7392463210233e-07,22.0875956246896,"Block-Effect"
"Lind",2020,"DH SP","2020 Lind SWW DH SP","Augmented ","Can_Cover",135.693670401243,-64.8468352006216,0.287647645255671,-0.00242130750605327,0.00129045391169218,3.3802815710477e-16,16.1688441763306,"Block-Effect"
"Lind",2020,"DH SP","2020 Lind SWW DH SP","Augmented ","NDVI",172.160994974147,-83.0804974870736,0.175005893928665,-0.00242130750605327,0.00129332511373794,4.03581763774275e-07,18.3651772294356,"Block-Effect"
"Lind",2020,"DH SP","2020 Lind SWW DH SP","Augmented ","NDRE2",6.56654030189162,-0.28327015094581,0.0198226034922629,-0.00242130750605327,0.00128186027843499,0.267206091079399,13.7919113880976,"Block-Effect"
"Pullman",2020,"DH SP","2020 PUL SWW DH SP","Augmented ","Control",120.151742623917,-58.0758713119586,0.103292773571918,-0.00746268656716418,0.00399287292759958,0.0398216240627662,14.8389197004292,"Block-Effect"
"Pullman",2020,"DH SP","2020 PUL SWW DH SP","Augmented ","Can_Cover",120.757323927922,-57.378661963961,0.0999470741852577,-0.00746268656716418,0.00398848399401241,0.0444952126416194,14.5592928324914,"Block-Effect"
"Pullman",2020,"DH SP","2020 PUL SWW DH SP","Augmented ","NDVI",114.820845658865,-54.4104228294325,0.088985902461975,-0.00746268656716418,0.00401470385371131,0.0639806273600227,14.3807042128704,"Block-Effect"
"Pullman",2020,"DH SP","2020 PUL SWW DH SP","Augmented ","NDRE2",91.6973685835448,-42.8486842917724,0.0288266950242969,-0.00746268656716418,0.004007219742892,0.283231495537442,12.806808927417,"Block-Effect"
"Pullman",2020,"F5 SP","2020 Pullman Hard F5 SP","Augmented ","Control",97.6090004600036,-46.8045002300018,0.0595305727898445,-0.0102040816326531,0.00554301726823336,0.17447031064334,8.09041942616986,"Block-Effect"
"Pullman",2020,"F5 SP","2020 Pullman Hard F5 SP","Augmented ","Can_Cover",98.9807027811896,-46.4903513905948,0.0603374550023034,-0.0102040816326531,0.00554265922358966,0.171688356596717,8.01011030447977,"Block-Effect"
"Pullman",2020,"F5 SP","2020 Pullman Hard F5 SP","Augmented ","NDVI",98.7064737464485,-46.3532368732242,0.0724546597806556,-0.0102040816326531,0.0055367478253783,0.13331315831206,8.08723602475975,"Block-Effect"
"Pullman",2020,"F5 SP","2020 Pullman Hard F5 SP","Augmented ","NDRE2",84.5635522000083,-39.2817761000042,0.0598261813527904,-0.0102040816326531,0.00554022152172451,0.173389865854576,7.43336089403107,"Block-Effect"
"Pullman",2020,"F5 SP","2020 Pullman Soft F5 SP","Augmented ","Control",225.41225405519,-110.706127027595,0.0306623062174824,-0.00446428571428571,0.00229282796073172,0.231600936057827,11.9440831865504,"Block-Effect"
"Pullman",2020,"F5 SP","2020 Pullman Soft F5 SP","Augmented ","Can_Cover",197.556281094074,-95.7781405470372,0.0961886978844156,-0.00446428571428571,0.00239986676052218,0.0199575007411498,11.1563621620959,"Block-Effect"
"Pullman",2020,"F5 SP","2020 Pullman Soft F5 SP","Augmented ","NDVI",173.980273387936,-83.9901366939681,0.0131277043455236,-0.00446428571428571,0.00235548422676748,0.358499545068436,11.0556183702885,"Block-Effect"
"Pullman",2020,"F5 SP","2020 Pullman Soft F5 SP","Augmented ","NDRE2",196.541887618523,-95.2709438092616,0.0892264236865991,-0.00446428571428571,0.00229323415660464,0.0252051362667201,11.1332256769889,"Block-Effect"
"Lind",2021,"F5 SP","2021 Lind Hard F5 SP","Augmented ","Control",144.072098700227,-70.0360493501133,0.150505461651414,-0.0062111801242236,0.00335009405989936,0.00338844814932312,11.3554412443986,"Block-Effect"
"Lind",2021,"F5 SP","2021 Lind Hard F5 SP","Augmented ","Can_Cover",103.452573377916,-48.7262866889581,0.0961843109753365,-0.0062111801242236,0.00334765308346893,0.0383848433237781,10.1239396122523,"Block-Effect"
"Lind",2021,"F5 SP","2021 Lind Hard F5 SP","Augmented ","NDVI",99.998771332514,-46.999385666257,0.115233117901875,-0.0062111801242236,0.00335715497172044,0.0180410621061208,10.1452480314419,"Block-Effect"
"Lind",2021,"F5 SP","2021 Lind Hard F5 SP","Augmented ","NDRE2",122.246790691886,-58.1233953459432,0.164299861869689,-0.0062111801242236,0.00335549844473957,0.00162226572789935,10.8255506165834,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind HRW DH SP#2","Augmented ","Control",71.3961023615391,-33.6980511807696,0.154680836083685,-0.0125,0.00680987593617187,0.0213877823604756,16.0114257314146,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind HRW DH SP#2","Augmented ","Can_Cover",57.5985719748152,-25.7992859874076,0.122464195569228,-0.0125,0.00685045381766169,0.0514828317680519,15.9079052664736,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind HRW DH SP#2","Augmented ","NDVI",35.4093525074016,-14.7046762537008,0.0482501866304359,-0.0125,0.00684827650251825,0.23144299595301,18.2581203449393,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind HRW DH SP#2","Augmented ","NDRE2",53.6540700350459,-23.827035017523,0.10953016284508,-0.0125,0.00686740434484665,0.070435827430863,18.0392670078313,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind SWW DH SP","Augmented ","Control",120.547056439037,-58.2735282195187,0.0914744315885793,-0.00740740740740741,0.00366076104813468,0.05109830677201,18.8154789043804,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind SWW DH SP","Augmented ","Can_Cover",120.968985899899,-57.4844929499493,0.0300556440518254,-0.00740740740740741,0.00365856084987411,0.267837333550164,19.1872843885649,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind SWW DH SP","Augmented ","NDVI",112.669920330328,-53.3349601651642,0.208688172401642,-0.00740740740740741,0.0036988049831395,0.00019031405909911,17.1719105621417,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind SWW DH SP","Augmented ","NDRE2",69.8352862307977,-31.9176431153989,0.150030571381859,-0.00740740740740741,0.00367379656450267,0.00469555059037796,14.4074008932816,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind SWW DH SP#2","Augmented ","Control",96.2391998839027,-46.1195999419513,0.212306544417029,-0.0099009900990099,0.00546317352042589,0.00132212036320792,14.3942034001844,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind SWW DH SP#2","Augmented ","Can_Cover",79.38332373087,-36.691661865435,0.316493800434179,-0.0099009900990099,0.00544412747730424,4.85274494975835e-06,13.0525172816702,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind SWW DH SP#2","Augmented ","NDVI",58.4641915423422,-26.2320957711711,0.256930572083695,-0.0099009900990099,0.00545114145106799,0.000150728753549285,12.135917206635,"Block-Effect"
"Lind",2021,"DH SP","2021 Lind SWW DH SP#2","Augmented ","NDRE2",42.9097641195918,-18.4548820597959,0.152154234795406,-0.0099009900990099,0.00540576033137066,0.0137580584164602,10.8593465676707,"Block-Effect"
"Lind",2021,"F5 SP","2021 Lind SWW F5 SP","Augmented ","Control",409.23902507714,-202.61951253857,0.2988607327226,-0.00242130750605327,0.00130103702430373,3.33516525883408e-17,15.4475712672127,"Block-Effect"
"Lind",2021,"F5 SP","2021 Lind SWW F5 SP","Augmented ","Can_Cover",238.240725084997,-116.120362542498,0.33012794003806,-0.00242130750605327,0.00130146017587115,1.51232086357645e-20,13.9899785988443,"Block-Effect"
"Lind",2021,"F5 SP","2021 Lind SWW F5 SP","Augmented ","NDVI",185.010615502689,-89.5053077513445,0.296159509294155,-0.00242130750605327,0.00130178414475902,6.39775715672337e-17,12.3503623731237,"Block-Effect"
"Lind",2021,"F5 SP","2021 Lind SWW F5 SP","Augmented ","NDRE2",191.496262672755,-92.7481313363777,0.138880429661061,-0.00242130750605327,0.00130043478066711,4.4578614053261e-05,14.5709140161886,"Block-Effect"
"Ritzville",2021,"F5 SP","2021 Lind@RIT SWW F5 SP","Augmented ","Control",390.723070254968,-193.361535127484,0.433520233442792,-0.00242130750605327,0.00127368599970975,1.29090093144231e-34,16.7701184714575,"Block-Effect"
"Ritzville",2021,"F5 SP","2021 Lind@RIT SWW F5 SP","Augmented ","Can_Cover",384.764852248058,-189.382426124029,0.434280920975626,-0.00242130750605327,0.00127457896645491,1.04689611949581e-34,17.4068172193551,"Block-Effect"
"Ritzville",2021,"F5 SP","2021 Lind@RIT SWW F5 SP","Augmented ","NDVI",387.302838407508,-190.651419203754,0.432349233026745,-0.00242130750605327,0.00127441291249729,2.01548381113632e-34,17.785045860645,"Block-Effect"
"Ritzville",2021,"F5 SP","2021 Lind@RIT SWW F5 SP","Augmented ","NDRE2",354.643914670384,-174.321957335192,0.404745920777814,-0.00242130750605327,0.00127461654772035,1.98119681488411e-30,16.7507699593408,"Block-Effect"
"Pullman",2021,"DH SP","2021 Pullman Hard DH SP","Augmented ","Control",135.480937983418,-65.740468991709,0.0347154399026813,-0.00740740740740741,0.00372684901694734,0.245098227862548,18.8818816024535,"Block-Effect"
"Pullman",2021,"DH SP","2021 Pullman Hard DH SP","Augmented ","Can_Cover",113.123276679527,-53.5616383397633,-0.0118052049627792,-0.00740740740740741,0.00356564834185334,0.529355100625256,17.1830576799343,"Block-Effect"
"Pullman",2021,"DH SP","2021 Pullman Hard DH SP","Augmented ","NDVI",100.202967004215,-47.1014835021075,-0.0252673384890318,-0.00740740740740741,0.00352463115030573,0.618228409357966,16.5898028565051,"Block-Effect"
"Pullman",2021,"DH SP","2021 Pullman Hard DH SP","Augmented ","NDRE2",107.392460465325,-50.6962302326625,-0.0433561723743204,-0.00740740740740741,0.00345398773187282,0.729624924736803,16.9044433796849,"Block-Effect"
"Pullman",2021,"F5 SP","2021 Pullman Hard F5 SP","Augmented ","Control",252.455659575283,-124.227829787641,0.36511944376648,-0.00398406374501992,0.00211895788733939,5.35714228935824e-16,13.1049742572954,"Block-Effect"
"Pullman",2021,"F5 SP","2021 Pullman Hard F5 SP","Augmented ","Can_Cover",206.885443414023,-100.442721707012,0.237876144822068,-0.00398406374501992,0.00212093631417881,7.53474261235242e-08,12.0350520002584,"Block-Effect"
"Pullman",2021,"F5 SP","2021 Pullman Hard F5 SP","Augmented ","NDVI",152.091845381271,-73.0459226906354,0.17601707381037,-0.00398406374501992,0.00211713760513208,4.57642792844488e-05,10.8499354546828,"Block-Effect"
"Pullman",2021,"F5 SP","2021 Pullman Hard F5 SP","Augmented ","NDRE2",125.555724063932,-59.7778620319661,0.137745870824186,-0.00398406374501992,0.00211638771344603,0.00103221489544725,10.2541755630732,"Block-Effect"
"Pullman",2021,"DH SP","2021 Pullman SWW DH SP","Augmented ","Control",226.215817277181,-111.10790863859,0.109303494803397,-0.00429184549356223,0.00228527339794765,0.00874489443135579,13.1066397979892,"Block-Effect"
"Pullman",2021,"DH SP","2021 Pullman SWW DH SP","Augmented ","Can_Cover",221.525510929297,-107.762755464649,0.121302433440935,-0.00429184549356223,0.0022841775204841,0.00429598673879607,12.945625449515,"Block-Effect"
"Pullman",2021,"DH SP","2021 Pullman SWW DH SP","Augmented ","NDVI",175.070356029816,-84.535178014908,0.148027922709042,-0.00429184549356223,0.00227831351065423,0.000708496839646074,11.7008903037903,"Block-Effect"
"Pullman",2021,"DH SP","2021 Pullman SWW DH SP","Augmented ","NDRE2",156.417843814182,-75.2089219070908,0.077537672021981,-0.00429184549356223,0.00227878543781798,0.0432471664511914,11.2099184004723,"Block-Effect"
"Pullman",2021,"F5 SP","2021 Pullman SWW F5 SP","Augmented ","Control",463.586147101865,-229.793073550932,0.452603922411607,-0.00214132762312634,0.00112478331910641,3.49519996302579e-42,12.7181130706877,"Block-Effect"
"Pullman",2021,"F5 SP","2021 Pullman SWW F5 SP","Augmented ","Can_Cover",327.785545661101,-160.89277283055,0.332198879765769,-0.00214132762312634,0.00112563881289676,1.08142498094414e-23,10.6977548614516,"Block-Effect"
"Pullman",2021,"F5 SP","2021 Pullman SWW F5 SP","Augmented ","NDVI",249.815412731335,-121.907706365668,0.246769440324569,-0.00214132762312634,0.00112526747613249,5.84703684205583e-14,9.94276015507495,"Block-Effect"
"Pullman",2021,"F5 SP","2021 Pullman SWW F5 SP","Augmented ","NDRE2",295.943550158734,-144.971775079367,0.34634393671409,-0.00214132762312634,0.00112558092727312,1.41864319249586e-25,10.3282381262701,"Block-Effect"
"Pullman",2022,"F5 SP","2022 HiRain SWW F5 SP#1","Augmented ","Control",186.117005966571,-91.0585029832854,0.082288190729834,-0.0050761421319797,0.00269219704268611,0.0461138220926268,8.99733627455893,"Block-Effect"
"Pullman",2022,"F5 SP","2022 HiRain SWW F5 SP#1","Augmented ","Can_Cover",188.279018354881,-91.1395091774403,0.0788530351407065,-0.0050761421319797,0.00269250875789651,0.0528891685059577,8.98135685343803,"Block-Effect"
"Pullman",2022,"F5 SP","2022 HiRain SWW F5 SP#1","Augmented ","NDVI",186.186102217997,-90.0930511089987,0.104455623830693,-0.0050761421319797,0.00269295455140206,0.0173992478598629,9.00334418104362,"Block-Effect"
"Pullman",2022,"F5 SP","2022 HiRain SWW F5 SP#1","Augmented ","NDRE2",176.841361777664,-85.4206808888322,0.100918789929196,-0.0050761421319797,0.0026940476945021,0.0205695344554029,9.22470715969038,"Block-Effect"
"Pullman",2022,"F5 SP","2022 HiRain SWW F5 SP#2","Augmented ","Control",174.754993264789,-85.3774966323946,0.0897418490644093,-0.00558659217877095,0.00291758310448351,0.0387934391432516,7.5442742300382,"Block-Effect"
"Pullman",2022,"F5 SP","2022 HiRain SWW F5 SP#2","Augmented ","Can_Cover",176.549901433628,-85.2749507168142,0.0887180259490378,-0.00558659217877095,0.00291920997659175,0.0404557726489979,7.53683523113509,"Block-Effect"
"Pullman",2022,"F5 SP","2022 HiRain SWW F5 SP#2","Augmented ","NDVI",170.395449815439,-82.1977249077194,0.10726827392639,-0.00558659217877095,0.00289597833774328,0.017991615165431,7.40319721284368,"Block-Effect"
"Pullman",2022,"F5 SP","2022 HiRain SWW F5 SP#2","Augmented ","NDRE2",162.922931447206,-78.4614657236032,0.0836316588645633,-0.00558659217877095,0.00290857835075916,0.0490336531354245,7.24917312833729,"Block-Effect"
"Walla_Walla",2021,"AHR2","2021 AHR2 WAW","Alpha-Lattice","Control",93.9171475879077,-10.9585737939539,0.391387716507883,-0.00934579439252336,0.00517838463446912,1.28279219514877e-08,4.49309662952813,"Block-Effect"
"Walla_Walla",2021,"AHR2","2021 AHR2 WAW","Alpha-Lattice","Can_Cover",82.55000633428,-4.27500316713998,0.391387716507883,-0.00934579439252336,0.00517838463446912,1.28279219514877e-08,6.98583748265171,"Block-Effect"
"Walla_Walla",2021,"AHR2","2021 AHR2 WAW","Alpha-Lattice","NDVI",89.6625030123761,-7.83125150618805,0.391387716507883,-0.00934579439252336,0.00517838463446912,1.28279219514877e-08,9.22985540995581,"Block-Effect"
"Walla_Walla",2021,"AHR2","2021 AHR2 WAW","Alpha-Lattice","NDRE2",69.7799669798906,2.11001651005471,0.391387716507883,-0.00934579439252336,0.00517838463446912,1.28279219514877e-08,8.38671655921795,"Block-Effect"
"Lind",2020,"AHR1","2020 AHR1 LND","Alpha-Lattice","Control",68.8245592936644,1.58772035316779,-0.0514943965076207,-0.00934579439252336,0.00514103468882966,0.721679596661269,14.7065379996629,"Block-Effect"
"Lind",2020,"AHR1","2020 AHR1 LND","Alpha-Lattice","Can_Cover",14.5782298215149,29.7108850892425,-0.0514943965076207,-0.00934579439252336,0.00514103468882966,0.721679596661269,13.6606262946932,"Block-Effect"
"Lind",2020,"AHR1","2020 AHR1 LND","Alpha-Lattice","NDVI",37.9433534779571,18.0283232610215,-0.0514943965076207,-0.00934579439252336,0.00514103468882966,0.721679596661269,8.05496816113861,"Block-Effect"
"Lind",2020,"AHR1","2020 AHR1 LND","Alpha-Lattice","NDRE2",37.173385363331,18.4133073183345,-0.0514943965076207,-0.00934579439252336,0.00514103468882966,0.721679596661269,7.5778898827458,"Block-Effect"
"Ritzville",2020,"AHR1","2020 AHR1 RIT","Alpha-Lattice","Control",66.2440940491441,2.87795297542793,-0.0208315269297966,-0.00934579439252336,0.00513619011373771,0.563663758136824,13.5949779653264,"Block-Effect"
"Ritzville",2020,"AHR1","2020 AHR1 RIT","Alpha-Lattice","Can_Cover",68.76988571439,2.61505714280499,-0.0208315269297966,-0.00934579439252336,0.00513619011373771,0.563663758136824,13.8770044675337,"Block-Effect"
"Ritzville",2020,"AHR1","2020 AHR1 RIT","Alpha-Lattice","NDVI",69.2404602856685,2.37976985716575,-0.0208315269297966,-0.00934579439252336,0.00513619011373771,0.563663758136824,13.428456700612,"Block-Effect"
"Ritzville",2020,"AHR1","2020 AHR1 RIT","Alpha-Lattice","NDRE2",68.4544445873725,2.77277770631375,-0.0208315269297966,-0.00934579439252336,0.00513619011373771,0.563663758136824,14.6886531777424,"Block-Effect"
